Unnamed: 0.1,Unnamed: 0,lat,lon,timestamp,datetime,time_delta,distance_Olin,distance_to_chosen
1,909779,39.739592,-105.1617848,2022-03-09 12:02:03.803000+00:00,2022-03-09 12:02:03.803000+00:00,0 days 00:00:59.597000,1279.6007009799084,1288.5230920246997
2,909780,39.7670843,-105.142443,2022-03-09 12:04:04.224000+00:00,2022-03-09 12:04:04.224000+00:00,0 days 00:02:00.421000,1279.0462625722132,1287.9916386370999
3,909781,39.7840752,-105.1358507,2022-03-09 12:05:03.769000+00:00,2022-03-09 12:05:03.769000+00:00,0 days 00:00:59.545000,1278.344000496964,1287.3014536096991
4,909782,39.7845014,-105.0852612,2022-03-09 12:07:21.803000+00:00,2022-03-09 12:07:21.803000+00:00,0 days 00:02:18.034000,1281.7469947931634,1290.7245361518249
5,909783,39.7847353,-105.0635911,2022-03-09 12:08:21.830000+00:00,2022-03-09 12:08:21.830000+00:00,0 days 00:01:00.027000,1283.2024149969543,1292.1885549290803
6,909784,39.784399,-105.0437542,2022-03-09 12:09:21.863000+00:00,2022-03-09 12:09:21.863000+00:00,0 days 00:01:00.033000,1284.5724048314617,1293.5660925256175
7,909785,39.7830457,-105.0023266,2022-03-09 12:11:22.090000+00:00,2022-03-09 12:11:22.090000+00:00,0 days 00:02:00.227000,1287.479039803247,1296.488077266817
8,909786,39.7793046,-104.9836029,2022-03-09 12:12:21.943000+00:00,2022-03-09 12:12:21.943000+00:00,0 days 00:00:59.853000,1289.003768844338,1298.0179938039073
9,909787,39.7742797,-104.8619774,2022-03-09 12:18:22.111000+00:00,2022-03-09 12:18:22.111000+00:00,0 days 00:06:00.168000,1297.6226443874991,1306.6808835112136
10,909788,39.770895,-104.8180762,2022-03-09 12:20:22.221000+00:00,2022-03-09 12:20:22.221000+00:00,0 days 00:02:00.110000,1300.8432024928054,1309.9163305265113
11,909789,39.770895,-104.8180762,2022-03-09 12:31:46.740000+00:00,2022-03-09 12:31:46.740000+00:00,0 days 00:11:24.519000,1300.8432024928054,1309.9163305265113
12,909790,39.770895,-104.8180762,2022-03-09 12:32:08.209000+00:00,2022-03-09 12:32:08.209000+00:00,0 days 00:00:21.469000,1300.8432024928054,1309.9163305265113
13,909791,39.853366,-104.6705651,2022-03-09 12:32:27.413000+00:00,2022-03-09 12:32:27.413000+00:00,0 days 00:00:19.204000,1305.460223351533,1314.633574556147
14,909792,39.8487397,-104.6730907,2022-03-09 12:33:11.974000+00:00,2022-03-09 12:33:11.974000+00:00,0 days 00:00:44.561000,1305.5922733830892,1314.7621830895416
15,909793,39.8484184,-104.6730366,2022-03-09 12:34:12.029000+00:00,2022-03-09 12:34:12.029000+00:00,0 days 00:01:00.055000,1305.617200565354,1314.7869564608902
16,909794,39.8484669,-104.6731208,2022-03-09 12:34:51.060000+00:00,2022-03-09 12:34:51.060000+00:00,0 days 00:00:39.031000,1305.6082202248713,1314.7779711018654
17,909795,39.8483551,-104.6731551,2022-03-09 12:35:28.185000+00:00,2022-03-09 12:35:28.185000+00:00,0 days 00:00:37.125000,1305.6132485438532,1314.7829261721436
18,909796,39.8483481,-104.6731407,2022-03-09 12:35:59.996000+00:00,2022-03-09 12:35:59.996000+00:00,0 days 00:00:31.811000,1305.6146988980202,1314.7843780853311
19,909797,39.8483341,-104.6731637,2022-03-09 12:36:33.544000+00:00,2022-03-09 12:36:33.544000+00:00,0 days 00:00:33.548000,1305.6140450178125,1314.7837080862569
20,909798,39.8483907,-104.6731431,2022-03-09 12:37:11.914000+00:00,2022-03-09 12:37:11.914000+00:00,0 days 00:00:38.370000,1305.6117213609532,1314.7814227138585
21,909799,39.848366,-104.6731995,2022-03-09 12:38:06.457000+00:00,2022-03-09 12:38:06.457000+00:00,0 days 00:00:54.543000,1305.6094820328017,1314.7791490718303
22,909800,39.8483547,-104.6731966,2022-03-09 12:38:44.013000+00:00,2022-03-09 12:38:44.013000+00:00,0 days 00:00:37.556000,1305.6104271673555,1314.7800891673094
23,909801,39.8483569,-104.6731926,2022-03-09 12:39:15.835000+00:00,2022-03-09 12:39:15.835000+00:00,0 days 00:00:31.822000,1305.6105563880942,1314.7802210642642
24,909802,39.8480156,-104.6736317,2022-03-09 12:39:50.791000+00:00,2022-03-09 12:39:50.791000+00:00,0 days 00:00:34.956000,1305.6029614307015,1314.7722783034026
25,909803,39.8481913,-104.6739234,2022-03-09 12:40:27.852000+00:00,2022-03-09 12:40:27.852000+00:00,0 days 00:00:37.061000,1305.5713430966002,1314.740646730215
